Supplier,Direction,SOC,TempLabel,TempC,DCR_mOhm,,AUTO-GENERATED — do not edit. Fill DCR_<Supplier> tabs; Save As CSV UTF-8 → dcr.csv
HITHIUM,Charge,20%,-10°C,-10,,,
HITHIUM,Charge,30%,-10°C,-10,,,
HITHIUM,Charge,40%,-10°C,-10,,,
HITHIUM,Charge,50%,-10°C,-10,,,
HITHIUM,Charge,60%,-10°C,-10,,,
HITHIUM,Charge,70%,-10°C,-10,,,
HITHIUM,Charge,80%,-10°C,-10,,,
HITHIUM,Charge,90%,-10°C,-10,,,
HITHIUM,Charge,10%,0°C,0,,,
HITHIUM,Charge,20%,0°C,0,,,
HITHIUM,Charge,30%,0°C,0,,,
HITHIUM,Charge,40%,0°C,0,,,
HITHIUM,Charge,50%,0°C,0,,,
HITHIUM,Charge,60%,0°C,0,,,
HITHIUM,Charge,70%,0°C,0,,,
HITHIUM,Charge,80%,0°C,0,,,
HITHIUM,Charge,90%,0°C,0,,,
HITHIUM,Charge,10%,25°C,25,0.451,,
HITHIUM,Charge,20%,25°C,25,0.4478,,
HITHIUM,Charge,30%,25°C,25,0.4392,,
HITHIUM,Charge,40%,25°C,25,0.4468,,
HITHIUM,Charge,50%,25°C,25,0.4592,,
HITHIUM,Charge,60%,25°C,25,0.4927,,
HITHIUM,Charge,70%,25°C,25,0.4424,,
HITHIUM,Charge,80%,25°C,25,0.4433,,
HITHIUM,Charge,90%,25°C,25,0.4452,,
HITHIUM,Charge,10%,45°C,45,,,
HITHIUM,Charge,20%,45°C,45,,,
HITHIUM,Charge,30%,45°C,45,,,
HITHIUM,Charge,40%,45°C,45,,,
HITHIUM,Charge,50%,45°C,45,,,
HITHIUM,Charge,60%,45°C,45,,,
HITHIUM,Charge,70%,45°C,45,,,
HITHIUM,Charge,80%,45°C,45,,,
HITHIUM,Charge,90%,45°C,45,,,
YOUNGY ENERGY,Discharge,10%,-20°C,-20,,,
YOUNGY ENERGY,Discharge,20%,-20°C,-20,,,
YOUNGY ENERGY,Discharge,30%,-20°C,-20,,,
YOUNGY ENERGY,Discharge,40%,-20°C,-20,,,
YOUNGY ENERGY,Discharge,50%,-20°C,-20,,,
YOUNGY ENERGY,Discharge,60%,-20°C,-20,,,
YOUNGY ENERGY,Discharge,70%,-20°C,-20,,,
YOUNGY ENERGY,Discharge,80%,-20°C,-20,,,
YOUNGY ENERGY,Discharge,90%,-20°C,-20,,,
YOUNGY ENERGY,Discharge,10%,-10°C,-10,,,
YOUNGY ENERGY,Discharge,20%,-10°C,-10,,,
YOUNGY ENERGY,Discharge,30%,-10°C,-10,,,
YOUNGY ENERGY,Discharge,40%,-10°C,-10,,,
YOUNGY ENERGY,Discharge,50%,-10°C,-10,,,
YOUNGY ENERGY,Discharge,60%,-10°C,-10,,,
YOUNGY ENERGY,Discharge,70%,-10°C,-10,,,
YOUNGY ENERGY,Discharge,80%,-10°C,-10,,,
YOUNGY ENERGY,Discharge,90%,-10°C,-10,,,
YOUNGY ENERGY,Discharge,10%,0°C,0,,,
YOUNGY ENERGY,Discharge,20%,0°C,0,,,
YOUNGY ENERGY,Discharge,30%,0°C,0,,,
YOUNGY ENERGY,Discharge,40%,0°C,0,,,
YOUNGY ENERGY,Discharge,50%,0°C,0,,,
YOUNGY ENERGY,Discharge,60%,0°C,0,,,
YOUNGY ENERGY,Discharge,70%,0°C,0,,,
YOUNGY ENERGY,Discharge,80%,0°C,0,,,
YOUNGY ENERGY,Discharge,90%,0°C,0,,,
YOUNGY ENERGY,Discharge,10%,25°C,25,,,
YOUNGY ENERGY,Discharge,20%,25°C,25,,,
YOUNGY ENERGY,Discharge,30%,25°C,25,,,
YOUNGY ENERGY,Discharge,40%,25°C,25,,,
YOUNGY ENERGY,Discharge,50%,25°C,25,,,
YOUNGY ENERGY,Discharge,60%,25°C,25,,,
YOUNGY ENERGY,Discharge,70%,25°C,25,,,
YOUNGY ENERGY,Discharge,80%,25°C,25,,,
YOUNGY ENERGY,Discharge,90%,25°C,25,,,
YOUNGY ENERGY,Discharge,10%,45°C,45,,,
YOUNGY ENERGY,Discharge,20%,45°C,45,,,
YOUNGY ENERGY,Discharge,30%,45°C,45,,,
YOUNGY ENERGY,Discharge,40%,45°C,45,,,
YOUNGY ENERGY,Discharge,50%,45°C,45,,,
YOUNGY ENERGY,Discharge,60%,45°C,45,,,
YOUNGY ENERGY,Discharge,70%,45°C,45,,,
YOUNGY ENERGY,Discharge,80%,45°C,45,,,
YOUNGY ENERGY,Discharge,90%,45°C,45,,,
YOUNGY ENERGY,Charge,10%,-20°C,-20,,,
YOUNGY ENERGY,Charge,20%,-20°C,-20,,,
YOUNGY ENERGY,Charge,30%,-20°C,-20,,,
YOUNGY ENERGY,Charge,40%,-20°C,-20,,,
YOUNGY ENERGY,Charge,50%,-20°C,-20,,,
YOUNGY ENERGY,Charge,60%,-20°C,-20,,,
YOUNGY ENERGY,Charge,70%,-20°C,-20,,,
